RA,DEC
114.99663358,22.20064182
115.00548191,40.97930188
115.01546097,22.6862423
115.02797833,38.55265398
115.04037006,21.41052986
115.06714215,22.46258237
115.07004834,17.58115241
115.07107928,44.86006346
115.08532674,21.72971336
115.08851418,17.6237579
115.10377639,22.02239504
115.10631583,44.04279914
115.11639168,22.30339716
115.13532088,17.50549362
115.14827838,43.47428763
115.1564756,17.69917973
115.24637145,17.60351957
115.28889242,21.73394506
115.28984213,30.2391332
115.29783886,21.9318447
115.29833177,21.96587439
115.36758638,21.70273902
115.38683423,43.15196513
115.39280297,30.87072749
115.47102224,30.1628162
115.48045122,38.07929411
115.48366382,21.18738484
115.58839454,32.07314483
115.63952906,19.13983408
115.68282568,19.03270585
115.70670199,43.54812233
115.70692519,19.18760906
115.72045675,43.84664841
115.76248975,19.61854844
115.84036952,19.15823837
115.84110291,19.5490418
115.85011873,38.3444895
115.8521332,17.6651913
115.87284071,18.10064055
115.88104006,28.72252878
115.91144322,38.29206967
115.92169471,49.4063559
115.92565456,32.26238471
115.93660421,17.60809568
115.96487681,40.03542607
115.96493933,29.42949575
115.9711803,17.61576499
116.06708731,30.00340913
116.16411513,18.84714186
116.17335994,30.11592586
116.18107274,28.82496946
116.19299883,35.18111157
116.20402371,18.93470834
116.20763341,18.18812511
116.24604581,19.01343907
116.37594945,37.61226404
116.40864253,18.75015585
116.46380059,19.06614506
116.5082318,18.7166095
116.52578007,28.20081545
116.54227573,23.25716856
116.55454725,23.38390153
116.5677816,29.54590978
116.58199934,23.23771765
116.58877763,48.20205724
116.59664078,34.84966531
116.60824192,23.1768348
116.62546492,27.6562189
116.64936981,29.77861946
116.67125607,43.94345553
116.67270843,27.61039404
116.70922013,18.97872023
116.7318396,43.25445654
116.76803443,43.72150582
116.77611681,18.21956082
116.79434857,18.22525594
116.83688124,23.41247341
116.84183033,49.09765464
116.84534852,27.86869453
116.88890964,43.75624052
116.89176225,18.91590248
116.91786272,18.90904275
116.92243442,17.93916716
116.9614257,27.90147752
116.98464874,17.84312682
117.01759317,23.38664435
117.03466221,48.74746307
117.04201403,18.65489231
117.07632949,23.32382778
117.08954895,22.17030723
117.14502415,22.23594349
117.18618369,18.645362
117.1888944,38.6596729
117.19178663,27.56925898
117.20752898,22.13825713
117.22732166,27.55651338
117.25900927,17.98020529
117.28276474,17.91527946
117.30394685,31.14447521
117.34143882,27.7841647
117.37272274,39.00175357
117.38865037,27.78656717
117.39141024,22.44829516
117.42369303,27.70158681
117.42405508,39.21735812
117.43771404,21.97729512
117.48869178,29.76590621
117.49289478,31.15577174
117.55637457,29.72849512
117.59585038,28.64146256
117.59978227,28.48468463
117.63284536,22.6499269
117.64983717,31.50993183
117.65390487,22.41545477
117.66892938,22.36095674
117.68454672,22.43766256
117.69576361,28.58235931
117.7128694,22.58898537
117.72052206,28.07401053
117.79426456,28.04444989
117.79554077,31.14670308
117.81903224,44.39363206
117.83591819,20.06316811
117.84976342,29.32376455
117.89326712,31.09125319
117.89486903,29.01676669
117.90558616,30.92513803
117.90764428,9.25089183
117.91070543,22.82805567
117.91072515,29.05591364
117.922515,9.30210606
117.94652028,9.9722794
117.94794214,21.59910518
117.97120417,22.55606452
118.02820882,44.5470207
118.05068919,29.71531613
118.05602511,18.03958841
118.06230973,26.53010676
118.06992057,9.24201237
118.09216059,29.72226996
118.11366923,16.64312006
118.1216976,18.49418715
118.12705401,29.32481126
118.1734719,18.47827478
118.17537344,29.73512063
118.18711364,23.59576292
118.21886616,29.14880495
