RA,DEC
118.6433392,-0.17568911
118.71646796,-0.39254973
118.73648408,23.18870325
118.74545176,22.04486289
118.81086228,51.03838584
118.85588805,28.11211961
118.87883388,22.80501261
118.88818293,22.61137508
118.94314107,23.3475202
118.9622791,-0.45329943
118.97260032,30.49410587
119.02150756,22.28861208
119.03415845,53.18853581
119.06188067,-0.01918704
119.16802969,0.01925828
119.17936515,30.70586718
119.18971346,23.17926499
119.21415886,22.85470498
119.30168153,6.30658182
119.30591884,42.73376432
119.30910245,36.65504103
119.31625938,23.68386986
119.4547613,-0.20034219
119.46812901,40.11284236
119.48509598,1.06861897
119.64825266,1.08859229
119.6645289,42.75525255
119.70816222,-0.75860297
119.74000081,0.92985971
119.81105278,-0.45055168
119.8325106,-0.59490967
119.90211302,-0.53396908
119.90681547,0.20158422
119.91865838,-0.32767954
119.95500601,-0.30885027
119.97868265,0.58829683
119.99572374,-0.48194909
119.99729722,1.29561887
12.00804494,0.06439644
12.01163641,28.43881125
12.19837305,1.92881578
12.35887709,-0.72802509
12.62061159,9.16063575
12.74330152,17.99905373
12.85334602,-0.93001756
120.01474171,27.88925352
120.01958898,0.3495844
120.01972374,-1.03721092
120.07918927,-0.43527557
120.08464701,41.59583968
120.08915403,46.19037785
120.09684626,0.80572585
120.10822133,50.75037148
120.11270997,-0.400425
120.11801905,-0.59007375
120.12678316,46.93930662
120.1290105,-0.56541289
120.16308017,45.77840292
120.18413064,51.73246866
120.18533602,51.13534285
120.19498698,1.33923173
120.29136197,-1.04244973
120.32588069,-0.29094037
120.42715299,0.13403589
120.42833144,-0.45657385
120.43363305,0.56700037
120.43463559,45.06313301
120.48098644,55.66835726
120.54290764,-0.32466512
120.54845952,41.96887595
120.55240981,-0.37574383
120.60849847,0.70726076
120.61703996,6.44152204
120.64212348,1.00272472
120.69577887,0.1698458
120.70197752,48.64083295
120.71034418,-0.29325578
120.82102716,0.97674888
120.90231956,50.24694088
120.97464225,-0.40953254
120.99861637,45.69633905
121.00313576,-0.46836367
121.02514265,-0.45091309
121.08907866,0.41138752
121.13570091,-0.75254106
121.16153032,42.85158511
121.17930127,44.35028199
121.18748005,0.88450738
121.20252791,-0.02992065
121.20746386,0.32146219
121.2547762,37.9529797
